"Recipe Name","servings","Total Time","Instruction"
"Instant Pot Butternut Squash Soup","6 serving(s)","80","For the soup: Set a 6-quart Instant Pot� to medium saute setting (See Cook's Note) and line a plate with a paper towel. Add the pancetta to the pot and cook, stirring occasionally, until crisp and the fat is rendered, about 8 minutes. Remove the pancetta with a slotted spoon to the lined plate. Drain all but 2 tablespoons of the drippings from the pot and reserve.
Add the sage, carrots, celery, onion, cumin, 2 teaspoons salt and 1/4 teaspoon black pepper to the pot and cook, stirring occasionally, until the vegetables have softened, about 5 minutes. Add the squash and chicken stock. Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 25 minutes. After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid. Use an immersion blender to puree the soup until smooth. Use the cream or water to thin the soup to the desired consistency. Season with additional salt and pepper.
For the toppings: Meanwhile, heat 1 tablespoon of the reserved pancetta fat in a medium skillet over medium-high heat. Add the mushrooms, cumin and a generous pinch of salt. Cook, stirring occasionally, until the mushrooms have released all their liquid and turned brown and slightly crisp, 10 to 20 minutes. Remove the mushrooms and set aside to for the topping.
Ladle the soup into bowls and serve topped with the crisp pancetta, mushrooms, creme fraiche and chives."
"Instant Pot Barbecue Pulled Pork Sandwiches","8 serving(s)","120","Combine paprika, mustard powder, cumin, 1 tablespoon brown sugar, 2 teaspoons salt and 1/2 teaspoon pepper in a small bowl. Rub the spice mixture all over the pork.
Turn the Instant Pot� (see Cook's Note) to the high saute setting. Add the oil and once hot, add the pork and cook in two batches, turning, until browned on all sides, about 5 minutes. Switch the Instant Pot� to the warm setting, remove the pork and transfer to a plate.
Whisk 3/4 cup water into the drippings in the Instant Pot�. Add the vinegar, tomato paste, the remaining 2 tablespoons brown sugar and 2 cups water and whisk to combine. Add the pork back. Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 1 hour.
After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Careful of any remaining steam, unlock and remove the lid and transfer the pork to a large bowl.
Switch the Instant Pot� to the normal saute setting and simmer the juices until reduced by half, about 15 minutes. While the juices are reducing use a ladle to remove any fat that rises to the top. Season to taste with salt.
Meanwhile, use 2 forks to shred the pork in to small chunks.
Add 3 cups of the reduced cooking liquid to the chunked pork and season with salt and vinegar to taste. Serve in hamburger buns with barbecue sauce and coleslaw."
"5-Ingredient Instant Pot Mac and Cheese","6 serving(s)","30","Combine the macaroni, 4 cups water and 1 tablespoon salt in an Instant Pot� (see Cook's Note). Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 4 minutes.
After the pressure cook cycle is complete follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Careful of any remaining steam, unlock and remove the lid and switch to low saute setting.
Stir in the evaporated milk, butter and 1/4 cup water. Then add the Cheddar, a little at time, while constantly stirring, until the cheese is completely melted. Serve hot."
"Instant Pot Greek Chicken Bowls","4 serving(s)","50","Whisk together the oregano, paprika, red pepper flakes, 1/4 cup olive oil, 2 cloves garlic and 1/2 cup water in the pot of a 6-quart Instant Pot�. Add the chicken, 2 teaspoons salt and a few grinds of pepper and toss until well coated.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set the pot to pressure cook on high for 3 minutes (see Cook's Note). After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid. Transfer the chicken to a medium bowl and turn the pot off. Add the couscous, 1/2 teaspoon salt and a few grinds of pepper to the pot and stir to combine with the hot liquid. Place the glass lid on the top and let the couscous sit until tender and fluffy, 6 to 7 minutes. Fluff with a fork.
Meanwhile, mix together the yogurt, lemon juice, remaining clove garlic and 2 tablespoons water in a medium bowl until well combined. Spread 1/4 cup of the yogurt sauce on the bottom of a plate. Top with a quarter of the couscous, cucumbers, tomatoes, Kalamata olives and feta. Repeat with the remaining ingredients 3 more times. Garnish each plate with the dill and a drizzle of the remaining 2 tablespoons olive oil."
"Instant Pot Carnitas","4 serving(s)","100","Put the pork shoulder, pork belly, lager, chili powder, cumin, coriander, 1 heaping tablespoon salt and 1 teaspoon black pepper in a 6-quart Instant Pot� and follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 60 minutes (see Cook's Note). After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid. Using a slotted spoon, transfer the meat to a small bowl, cover and set aside. Set the pot to saute on high and reduce the liquid until almost completely evaporated, 10 to 15 minutes. Set the pot to off and transfer the reduced sauce to the meat, then toss to coat and serve.
For crispy carnitas (optional): Transfer the reduced sauce and cooked carnitas to a large nonstick skillet over high heat and cook, undisturbed, for 5 minutes. Toss and continue to cook for about 5 minutes more to crisp other side. Transfer to a paper towel lined platter, making sure to scrape up any browned bits from the skillet, and serve.
Serve the carnitas with the tortillas, pico de gallo, lime wedges, guacamole, onion, cilantro and cabbage."
"Instant Pot Chicken Adobo","4 serving(s)","80","Season the chicken legs generously with salt and pepper. Turn the Instant Pot� (see Cook's Note) to the high saute setting. Add the oil and once it's shimmering, but not smoking, add half the chicken pieces and brown on both sides, about 7 minutes. Remove with tongs to a plate and brown the remaining chicken pieces. Return all the chicken to the multi-cooker and add the soy sauce, sugar, vinegar, garlic, bay leaves, onion and 1/2 teaspoon pepper.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook, on high, for 8 minutes. After the pressure cook cycle is complete follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Careful of any remaining steam, unlock and remove the lid and turn the Instant Pot� back to the high saute setting. Let the sauce come to a boil and reduce it until dark brown and very fragrant, about 20 minutes. Remove the bay leaves.
Transfer the chicken and sauce to a serving platter, sprinkle with scallions and serve with rice."
"Instant Pot Indian Shrimp Biriyani","6 serving(s)","30","Mix the yogurt with the mint and cilantro in a small bowl until well combined. Cover and refrigerate until ready to use.
Toss the shrimp with 1/4 teaspoon of the curry powder, 1 teaspoon salt and a few grinds of black pepper. Turn a 6-quart Instant Pot� to the saute setting (see Cook's Note) and add 4 tablespoons of the butter. When melted, add half of the shrimp and cook, tossing once or twice, until the shrimp are just turning orange and starting to brown but are not completely cooked, 3 to 4 minutes; transfer to a plate. Repeat with the remaining shrimp. Set aside.
Melt the remaining 2 tablespoons butter. Add the onions and cook, stirring occasionally, until softened, 5 to 6 minutes. Add the ginger, turmeric, paprika, garlic and remaining 1 teaspoon curry powder and cook until the garlic and ginger are softened and the spices are fragrant, 1 to 2 minutes. Add the rice, 1 1/2 cups water, 2 teaspoons salt and a few grinds of black pepper and stir to combine.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 3 minutes.
After the pressure-cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick-release cycle is complete. Being care of any remaining steam, unlock and remove the lid. Add the shrimp to the pot and stir to combine with the rice. Turn the pot to the normal saute setting and put on the lid. Let the shrimp cook until completely opaque throughout, 1 to 2 minutes. Serve in bowls with a dollop of herbed yogurt."
"Instant Pot Chicken Noodle Soup","6 serving(s)","45","Turn a 6-quart Instant Pot� to the high saut� setting. Add the oil and once hot add the carrots, celery, garlic, onion, 1 tablespoon salt and a large pinch of pepper. Cook, stirring, until the vegetables are slightly softened, 4 to 5 minutes.
Add the chicken, ginger, if using, and 8 cups water. Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 20 minutes.
After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam, unlock and remove the lid. Remove the ginger and discard. Use a pair of tongs to remove the chicken from the pot and put into a large bowl and allow to cool for several minutes.
Switch the Instant Pot� to the high saut� setting and bring the soup to a boil. Once at a boil, add the noodles and cook until al dente, 4 to 5 minutes.
While the noodles are cooking, use 2 forks to remove the skin and bones from the chicken and shred the meat into bite-size pieces. Season the chicken generously with salt and pepper then add the meat back to the pot along with the dill. Season the soup with additional salt and pepper if needed."
"Instant Pot Chicken Cacciatore","4 serving(s)","105","Turn a 6-quart Instant Pot� to the saute setting on high (see Cook's Note) and wait for it to say Hot, about 4 minutes. Meanwhile, sprinkle the chicken with 1 teaspoon salt and a few grinds of black pepper. Add the oil and 4 pieces of chicken, skin side-down, to the pot, and sear until the skin is golden brown, 3 to 4 minutes. Flip and continue to sear until the bottom of the chicken is opaque, 2 to 3 minutes. Remove the chicken to a plate and repeat with the remaining chicken.
Line a plate with a paper towel. Add the bacon to the pot and cook, stirring occasionally, until just golden brown, 5 to 6 minutes. Remove the bacon with a slotted spoon to the lined plate. Remove all but 2 tablespoons of the bacon drippings and add the onion. Cook, stirring occasionally and scraping up any brown bits on the bottom of the pot, until the onions are just softened, 2 to 3 minutes. Add the carrots and garlic and cook, stirring occasionally, until the carrots just begin to soften, 2 to 3 minutes. (Note: The saute setting on most pots only runs for 30 minutes. If your pot turns off, simply turn it back on the saute setting on high.)
Add the tomato paste and thyme and cook, stirring constantly, until the paste has softened, 1 to 2 minutes. Pour in the red wine and cook, stirring occasionally, until it has reduced by half, 5 to 6 minutes. Add 1/2 cup water, the reserved bacon, 1 teaspoon salt and a few grinds of black pepper and stir to combine. Turn off the saute setting and add the chicken.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 20 minutes. After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid.
Remove the chicken to a platter. Turn the pot back to the saute setting on high and reduce the sauce until thickened and about 2 cups remain, 15 to 20 minutes. Pour the sauce over the chicken and sprinkle with the parsley. Serve with polenta."
"Instant Pot Pasta Marinara","6 serving(s)","35","Turn an Instant Pot� multi-cooker to the high saute setting. Add the oil; once it's shimmering, add the garlic and red pepper flakes and cook until fragrant, about 1 minute. Stir in the tomatoes, 2 cups water and 2 teaspoons salt.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 5 minutes. After pressure-cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick-release cycle is complete. Being careful of any remaining steam, unlock and remove the lid, then crush the tomatoes with a wooden spoon. Stir in the penne.
Set to pressure cook once more for 5 minutes. After the cycle is complete, repeat the process for quick release. Remove the lid, then stir in the butter and Parmesan."
"Instant Pot Butter Chicken","6 serving(s)","105","Set a 6-quart Instant Pot� to high saute and melt 4 tablespoons of the butter (see Cook's Note). Add the ginger, fenugreek leaves, fenugreek seeds, garam masala, garlic, cardamom, onion, serrano, cinnamon stick and 1 tablespoon salt and cook, stirring occasionally, until the onions are tender and beginning to brown, 8 to 10 minutes. Stir in the tomato paste and cook, stirring frequently and scraping the bottom of the pot so that it doesn't burn, until it turns a brick red. Deglaze with 3 cups water and stir to combine. Add the tomatoes and layer the chicken on top.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 10 minutes.
After the pressure-cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick-release cycle is complete. Being careful of any remaining steam, unlock and remove the lid.
Remove the cinnamon stick and discard. Transfer the chicken to a plate, cover loosely with foil and set aside until ready to serve.
Set the pot to high saute and continue to cook the sauce, stirring occasionally, until reduced by half, 25 to 30 minutes. Turn off the pot and puree the sauce with an immersion blender. (Or transfer to a blender, let cool a few minutes and puree until completely smooth.) Add the cream and remaining 4 tablespoons butter and continue to blend until the butter is melted and the mixture is smooth and creamy and no streaks of cream remain.
Cut the chicken into 1-inch pieces and stir into the sauce. Let sit until heated through, about 5 minutes. Serve the chicken and sauce topped with cilantro over steamed basmati rice and naan alongside."
"Instant Pot Creamy Ranch Chicken Pasta","4 serving(s)","40","Pat the chicken thighs dry with a paper towel and sprinkle all over with 1 tablespoon of the seasoning mix.
Add the penne to the 6-quart Instant Pot� and add 4 cups water to the pot. Place the chicken thighs on top of the penne. Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 8 minutes (see Cook's Note). After the pressure-cook cycle is complete, follow the manufacturer's guide for quick- release and wait until the quick-release cycle is complete. Being careful of any remaining steam, unlock and remove the lid. Transfer the chicken to a cutting board until cool enough to handle.
Meanwhile, combine the cream cheese, sour cream, Cheddar and remaining seasoning mix (about 2 tablespoons) in a large bowl. Set aside.
Roughly chop the chicken into small pieces while it is still warm. Add the chicken to the cream-cheese mixture and stir to combine. Add the chicken and cheese mixture to the pasta and stir until the cheese mixture melts and the pasta is well coated."
"Instant Pot Mini Frittatas","7 serving(s)","75","Add the bacon to the Instant Pot� and turn the pot on the high saute setting (See Cook's Note). Cook the bacon, stirring occasionally, until golden brown and crisp, 10 to 12 minutes. Remove from the pot and set aside on a paper towel.
Add the mushrooms to the pot along with the thyme leaves and a pinch of salt. Cook, stirring occasionally, until the mushrooms have reduced to half their size and are golden brown, 6 to 8 minutes. Remove the mushrooms from the pot and divide the mushrooms among the cups of a silicone egg bites mold. Divide the spinach among the cups, along with the bacon and cheese.
Gently whisk the eggs together with the cream, nutmeg and 1/2 teaspoon salt and a few grinds of pepper in a medium bowl until well combined (gently to avoid creating foam). Pour the custard over the fillings in each of the cups.
Wipe out excess bacon grease in the bottom of the pot. Add 1 cup water to the bottom of the pot. Place the egg cups on the rack and cover tightly with the silicone lid or foil. Lower into the pot using the rack handles and follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on low for 6 minutes.
After the pressure cycle is complete, let the pressure release naturally for 10 minutes, then follow the manufacturer's guide for quick release of the remaining pressure. Be careful of any remaining steam and unlock and remove the lid. Carefully remove the tray and let stand 5 minutes before popping the mini frittatas out of the pan. The frittatas can be eaten right away or stored in the trays in the refrigerator or freezer; reheat in the microwave for 30 seconds to 1 minute."
"Instant Pot Beef Stew","6 serving(s)","85","Add the oil to the Instant Pot� and set to saute (see Cook's Note).
Meanwhile, toss the beef with the flour, 2 teaspoons salt, and a generous amount of pepper in a medium bowl. Add the meat and all the flour to the Instant Pot� in a single layer and cook, undisturbed, until golden brown on the bottom, about 3 minutes. Stir once and allow to brown for another 2 to 3 minutes. Add the tomato paste and stir to coat. Add the wine and bring to a boil. Cook for 1 minute, scraping up browned bits from the bottom of the pot with a wooden spoon.
Add the carrots, celery, thyme and onions and stir to coat. Follow the manufacturer's guide for locking the lid and set to pressure cook on high for 40 minutes. After the pressure cycle is complete follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Careful of any remaining steam, unlock and remove the lid."
"Instant Pot Saag Paneer","4 serving(s)","35","Place the rack inside a 6-quart Instant Pot� and add 2 cups of water. Firmly pack the spinach inside the pot; it will be completely full and very tightly packed.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 1 minute (see Cook's Note).
After the pressure-cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick-release cycle is complete. Being careful of any remaining steam, unlock and remove the lid.
Drain the spinach in a sieve and discard the cooking liquid. Transfer the spinach to a food processor and pulse until very finely chopped. Set aside and keep warm.
Wipe the pot clean and return to the base. Set to high saute, add the butter and heat, stirring, until completely melted. Add the paneer and cook, turning the cubes occasionally, until browned on a couple of sides, 6 to 8 minutes. Transfer to a paper towel-lined plate and set aside.
Add the ginger, garlic, onion, serrano, 2 1/2 teaspoons salt and 1/4 teaspoon pepper to the pot and cook, scraping up any browned bits, until the onions are tender, 6 to 8 minutes. Stir in the garam masala and cook until very fragrant, 1 to 2 minutes. Add the paneer and spinach with any accumulated juices and cook until heated through and the cheese is slightly softened, about 5 minutes. Turn off the heat and stir in the yogurt and lemon zest and juice; season with additional salt and pepper if needed. Serve over basmati rice or warmed naan."
"Instant Pot Black Bean Soup","8 serving(s)","100","Set the Instant Pot� (see Cook's Note) to normal saute. Add the oil and once shimmering, but not smoking, add the onion and cook, stirring, until translucent and soft, about 5 minutes.
Add the garlic, chili powder, cumin and oregano and cook, stirring, until fragrant, about 1 minute. Add the beans, bay leaves and 7 cups water. Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 1 hour.
After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Careful of any remaining steam, unlock and remove the lid and remove the bay leaves. Then remove 1 cup of the beans with a slotted spoon and set aside. Use an immersion blender to blend the black beans with 1 tablespoon salt until thick and creamy. Stir in the reserved whole beans and season to taste with salt and pepper. Serve with sliced avocado, cilantro leaves, chopped scallions, lime wedges and sour cream."
"Instant Pot Lemon Frozen Chicken with Orzo","4 serving(s)","35","Set a 6-quart Instant Pot� to high saute and add the butter (see Cook's Note). Once it has melted, add the mushrooms and cook until golden and the water has evaporated, about 6 minutes. Stir in the shallots and thyme and continue to cook until the shallots have softened, about 2 minutes. Stir in the orzo, chicken broth, lemon zest and juice. Put the chicken breasts on top of the orzo and sprinkle generously with salt and pepper.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 10 minutes.
After the pressure-cook cycle is complete, follow the manufacturer's guide for natural release. After 10 minutes, being careful of any remaining steam, unlock and remove the lid.
Transfer the chicken to a cutting board with tongs and slice crosswise. Stir the spinach, cream and Parmesan into the orzo. Season with salt and pepper and serve alongside the chicken."
"Instant Pot Tacos","6 serving(s)","50","Put 1 cup of water and the beef into a 6-quart Instant Pot�. Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on manual high pressure for 10 minutes (see Cook's Note).
After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid.
Turn the pot to the saute function and stir in the onion, garlic, chili powder, cumin, cornstarch, 1 tablespoon salt and 2 teaspoons pepper until combined and the meat is broken up. Let simmer until thickened and the onions are softened, about 8 minutes.
Serve with the taco shells and toppings."
"Instant Pot Spaghetti Squash with Marinara","6 serving(s)","55","Add 1 cup water to a 6-quart Instant Pot�, then put the rack in the bottom with the handles going up the sides. Deeply pierce the squash all over 12 to 16 times with a fork, then place on the rack (if needed, trim the stem so the squash fits comfortably in the pot, but be careful not to cut into the squash itself).
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 12 minutes (see Cook's Note).
Meanwhile, add the canned tomatoes to a medium bowl and use your hands to lightly crush the tomatoes. Set aside.
After the pressure-cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick-release cycle is complete. Being careful of any remaining steam, unlock and remove the lid. Use 2 kitchen towels to remove the rack and squash to a cutting board. Carefully pour the water out of the pot. Allow the squash to cool slightly while you prepare the marinara sauce.
Set the pot to high saute and allow it to heat up for 2 minutes. Add 2 tablespoons of the oil, then add the onions and a large pinch of salt. Cook, stirring occasionally, until the onions are softened and starting to brown lightly, 6 to 8 minutes. Add the garlic and a pinch of red pepper flakes and cook, stirring frequently, until the garlic is softened, 2 to 3 minutes. Stir in the reserved tomatoes and a large pinch of salt and bring to a strong simmer; cook, stirring occasionally, until the sauce is reduced slightly and thickened, about 10 minutes. Season with additional salt and red pepper flakes if needed.
While the sauce is reducing, remove the squash from the rack and split it in half lengthwise. Use a spoon to remove the seeds, then use a fork to scrape the strands of squash from the inside of the skin.
Transfer the squash to a large platter and stir in the remaining 2 tablespoons oil, 1 teaspoon salt and red pepper flakes to taste. Season with more salt if needed, then top with the hot marinara sauce. Sprinkle with the Parmesan and basil."
"Instant Pot Pozole Rojo","8 serving(s)","200","Preheat the oven to 350 degrees F.
Toast all the chiles on a rimmed baking sheet until beginning to brown (do not char) and starting to lightly curl in places, about 5 minutes. Set aside until ready to use.
Meanwhile, set a 6-quart Instant Pot� to high saute (see Cook's Note). When hot, after 1 to 2 minutes, add the oil and pork and let the pork sit undisturbed until browned, about 6 minutes. Turn the pork and brown the other side, 6 minutes more. Transfer to a plate until ready to use.
Add the oregano, peppercorns, garlic, cloves, sliced onions and 2 tablespoons salt and cook, stirring occasionally, until the onions are tender and beginning to brown, 6 to 8 minutes. Add 6 cups water and the toasted chiles and bring to a simmer. Turn the pot off, cover and let sit until the chiles have softened, 10 to 12 minutes.
Blend the chile mixture in a blender until completely smooth. Transfer back to the pot and stir in 6 cups water until combined. Add the reserved pork, pozole, cilantro, mint and bay leaf.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 1 hour 20 minutes.
After the pressure-cook cycle is complete, follow the manufacturer's guide for natural release. After 20 minutes, being careful of any remaining steam, unlock and remove the lid.
Remove and discard the cilantro, mint and bay leaf. Carefully transfer the pork to a rimmed baking sheet. Using two forks, shred the meat into bite-sized pieces. Return to the pot along with any accumulated juices and stir to combine.
Serve with thinly sliced cabbage, thinly sliced radishes, dried oregano, cilantro leaves, fried tortilla strips, crumbled queso fresco, chopped white onion, crema and lime wedges."
"Instant Pot Korean Style Short Ribs","4 serving(s)","95","Whisk together the soy sauce, gochujang, ginger, brown sugar, pear, garlic, 2 tablespoons sesame oil and 1/4 cup water in a 6-quart Instant Pot�. Place the short ribs on top and follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 25 minutes (see Cook's Note). After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid. Using a slotted spoon, transfer the meat to a large bowl, then cover and set aside.
Set the pot to saute on high for 30 minutes and let reduce until the liquid is thick and glazy, about 15 minutes (about 1/2 cup of sauce will remain). Set the pot to off and transfer the reduced sauce to the meat, then toss to coat.
Meanwhile, toss the scallions, cucumber, rice vinegar, gochugaru, sesame seeds, granulated sugar, 1/4 teaspoon salt and remaining tablespoon sesame oil in a medium bowl and cover and chill until ready to serve.
For charred short ribs (optional): Position an oven rack as high as it can go in the oven and preheat the broiler to high. Transfer the glazed ribs to a rack set inside a rimmed baking sheet and broil until lightly charred on both sides, about 1 minute per side.
Serve the ribs over steamed rice topped with the pickled cucumbers, additional scallions and sesame seeds."
"Instant Pot Chicken and Dumplings","4 serving(s)","40","Melt 2 tablespoons butter in a small skillet on the stovetop or in the microwave.
Mix together the baking powder, 1 3/4 cups flour and a pinch of salt in a medium bowl. Stir in the milk and melted butter until well combined. Set the dough aside.
Set a 6-quart Instant Pot� to saute (see Cook's Note). Add the remaining 2 tablespoons butter and melt, stirring constantly so it doesn't burn, about 1 minute. Add the onion, celery, carrots and a pinch of salt and cook, stirring occasionally, until translucent and softened, 3 to 4 minutes. Add the garlic and cook until softened, 2 to 3 minutes. Stir in the thyme and remaining 2 tablespoons flour until well combined, about 1 minute. Pour in the chicken stock and wine and stir. Add the chicken, peas, 1 1/2 teaspoons salt and a few grinds of black pepper and turn the pot off.
Carefully drop the dough in 2-tablespoon-sized mounds into the pot, spacing evenly (you should have about 9 dumplings). Follow the manufacturer's guide for locking the lid and preparing to cook. Set the pot to pressure cook on high for 3 minutes. After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid. Spoon the dumplings and soup into bowls and sprinkle with the parsley."
"Instant Pot Pot Roast","8 serving(s)","120","Sprinkle the chuck roast generously all over with salt and pepper. Turn a 6-quart Instant Pot� to the high saute setting. Add the oil and once hot, add the beef and cook until deeply browned on both sides, about 5 minutes per side. Remove the beef from the pot, add the tomato paste and garlic and stir to combine. Add the flour and stir to make a paste. Whisk in the red wine until well combined and bring to a boil. Cook until slightly thickened, about 3 minutes.
Add the broth, potatoes, carrots, celery, rosemary, thyme, 1 tablespoon salt and a large pinch of pepper. Nestle the beef on top and place the onions on top or around the beef, wherever they fit best. Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on high for 1 hour 15 minutes.
After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid. Allow the beef to sit in the sauce, uncovered, for 10 minutes.
Remove the herbs from the sauce and transfer the meat to a cutting board. Slice against the grain and put on to a large rimmed serving platter. Top with the sauce and vegetables."
"Instant Pot Sunday Sauce","8 serving(s)","145","For the sauce: Add the oil to a 6-quart Instant Pot� and set to saute (see Cook's Note). Add the short ribs and brown well. Transfer to a plate, then add the pork ribs and brown well. Transfer to a plate. Add the onions and garlic and cook, stirring often, until the onions are golden and the garlic is soft, about 5 minutes. Add the tomato paste and stir well to coat all the onions. Pour in the wine and scrape up any browned bits on the bottom of the pot. Bring to a boil and let cook until reduced by half, about 2 minutes.
Stir in the tomatoes, then add the beef, pork, sausages, 1 tablespoon salt, several grinds of black pepper and a pinch of pepper flakes, if using.
Follow the manufacturer's guide for locking the lid and preparing to cook. Set to pressure cook on manual high setting for 50 minutes.
For the meatballs: Meanwhile, combine the sirloin, Parmesan, breadcrumbs, milk, parsley, garlic, egg, some salt and a few grinds of pepper in a medium bowl and mix well with a wooden spoon. Form into 1- to 2-inch balls.
After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid.
Carefully remove the beef, pork and sausage. Skim any excess fat from the sauce and discard. When cool enough to handle, remove and discard any bones and excess fat from the meat. Chop the meat and sausage in to bite-sized pieces. Return the meat to the sauce and add the meatballs to the pot. Seal the pot and cook at manual high pressure for 5 minutes.
After the pressure cook cycle is complete, follow the manufacturer's guide for quick release and wait until the quick release cycle is complete. Be careful of any remaining steam and unlock and remove the lid. Season with salt and pepper. Serve over pasta or polenta."
